int(self),self.seed,disturbance_cycles,self.cycle,self.activate_negative_stigmergy,self.total_delivered,mean_cyc_to_deliver
0,621717548553305090.0,500,10000,true,11599,11.63677903267523
1,5964019393953628200.0,500,10000,true,12214,10.960045849025708
2,1665734851313346560.0,500,10000,true,12063,11.02594711100058
3,7059452950515959800.0,500,10000,true,12114,11.221892025755324
4,4864544735953114100.0,500,10000,true,11958,11.242097340692423
5,8369921783487938600.0,500,10000,true,12340,11.032739059967586
6,3572878056045278200.0,500,10000,true,12091,11.119758498056406
7,8452321776230198300.0,500,10000,true,11901,11.203092177127973
8,3761613035549022200.0,500,10000,true,11700,11.387264957264957
9,4809755215671136300.0,500,10000,true,12082,11.091623903327264
10,8745754659996049400.0,500,10000,true,11952,11.124581659973225
11,5471927138492372000.0,500,10000,true,11916,11.132930513595166
12,7887546003368400900.0,500,10000,true,12072,11.013999337309476
13,5027678862595298300.0,500,10000,true,11747,11.227717715161317
14,5949937905161531400.0,500,10000,true,11797,11.275324234974994
15,7899330165858840600.0,500,10000,true,11713,11.611542730299668
16,131748279674085376.0,500,10000,true,11983,11.239839773011767
17,3631984406230830100.0,500,10000,true,11774,11.324698488194327
18,8880095731798383600.0,500,10000,true,11659,11.363581782314093
19,8234466585828995100.0,500,10000,true,12051,10.844245290847233
20,2328344823761236000.0,500,10000,true,12067,11.021712107400347
21,4921148370529132500.0,500,10000,true,12087,11.055348721767189
22,3776123141567486000.0,500,10000,true,12199,10.94229035166817
23,8612376186007823400.0,500,10000,true,12098,11.13704744585882
24,34778486241000448.0,500,10000,true,11950,11.253974895397489
25,1811561130545624060.0,500,10000,true,11912,11.154717931497649
26,1451770448464948220.0,500,10000,true,12063,11.207411091768217
27,640955844245372930.0,500,10000,true,11776,11.118716032608695
28,1558418124965611520.0,500,10000,true,12180,11.119458128078819
29,5426886398653420500.0,500,10000,true,11917,11.117311403876815
30,2475805013405414400.0,500,10000,true,11699,11.524916659543551
31,2189125890943735810.0,500,10000,true,12121,11.01097269202211
32,8719616411421615100.0,500,10000,true,11980,11.340734557595994
33,2212601610004036610.0,500,10000,true,12157,11.044994653286173
34,6715093424019583000.0,500,10000,true,11852,11.262656091798853
35,3944007398611384300.0,500,10000,true,11788,11.387088564642008
36,7090728874467726300.0,500,10000,true,11862,11.044090372618445
37,5156691822237748200.0,500,10000,true,11992,11.043612408272182
38,2086832241743984640.0,500,10000,true,12378,10.754726126999515
39,7670872447088800800.0,500,10000,true,12242,11.035615095572618
